customer_id,tenure_months,monthly_charges,total_charges,country,plan,last_login_unix,churned
100000,49,76.37,,UK,standard,1599999925,0
100001,67,97.51,,DE,basic,1600089879,0
100002,38,97.81,,UK,basic,1600173646,0
100003,41,56.9,,BR,standard,1600256271,0
100004,44,97.04,,FR,premium,1600348625,0
100005,31,45.04,,JP,standard,1600433090,0
100006,46,78.53,,UK,premium,1600518905,0
100007,71,107.3,,JP,basic,1600605268,0
100008,17,87.66,,AU,standard,1600693425,1
100009,65,53.6,,UK,basic,1600779382,0
100010,6,75.38,,DE,premium,1600861779,0
100011,68,107.14,,UK,basic,1600952377,1
100012,22,69.59,,DE,standard,1601038663,0
100013,14,94.67,,CA,standard,1601122467,0
100014,14,22.68,,JP,basic,1601212100,0
100015,71,66.35,,CA,basic,1601299019,0
100016,58,29.39,,UK,standard,1601382485,0
100017,57,82.99,,UK,basic,1601468815,0
100018,33,48.21,,JP,premium,1601558221,0
100019,48,43.68,,BR,standard,1601642857,0
100020,64,99.42,,AU,standard,1601730654,0
100021,11,113.73,,DE,standard,1601814167,1
100022,10,96.86,,JP,basic,1601902512,0
100023,13,22.69,,DE,premium,1601988697,1
100024,31,20.35,,CA,standard,1602074507,0
100025,50,73.04,,AU,premium,1602160139,0
100026,6,83.85,,DE,premium,1602248975,1
100027,70,72.02,,CA,basic,1602329456,0
100028,72,79.2,,AU,standard,1602416002,0
100029,72,78.96,,FR,standard,1602506805,0
100030,27,54.8,,AU,basic,1602591582,0
100031,36,84.83,,FR,premium,1602679408,0
100032,23,85.9,,UK,standard,1602767755,0
100033,20,71.61,,FR,basic,1602848622,0
100034,42,48.25,,CA,premium,1602940899,0
100035,13,32.72,,FR,premium,1603025896,0
100036,57,44.42,,UK,standard,1603107790,0
100037,68,32.67,,FR,standard,1603195191,1
100038,28,50.02,,DE,standard,1603283218,0
100039,29,83.77,,AU,standard,1603369925,0
100040,64,98.95,,AU,premium,1603457777,0
100041,58,26.36,,FR,premium,1603544851,0
100042,20,114.54,,BR,standard,1603629100,0
100043,57,77.3,,AU,standard,1603715170,1
100044,19,106.61,,JP,standard,1603804236,0
100045,18,78.97,,UK,premium,1603887802,0
100046,71,108.55,,CA,standard,1603973173,0
100047,52,49.35,,FR,premium,1604061188,0
100048,54,70.6,,FR,premium,1604144913,0
100049,34,46.65,,DE,basic,1604235297,0
100050,67,75.5,,US,basic,1604322183,1
100051,57,113.64,,US,standard,1604408162,1
100052,57,52.06,,AU,standard,1604489979,0
100053,2,97.36,,UK,basic,1604576633,1
100054,58,113.93,,BR,standard,1604666921,0
100055,24,47.92,,UK,standard,1604755107,0
100056,42,112.06,,DE,premium,1604838503,0
100057,57,84.87,,JP,premium,1604924416,1
100058,44,109.48,,UK,basic,1605014067,0
100059,1,94.24,,BR,basic,1605099247,0
100060,60,51.15,,DE,standard,1605185514,0
100061,72,92.9,,AU,premium,1605267278,0
100062,41,28.47,,FR,premium,1605356341,0
100063,68,38.77,,CA,basic,1605439994,0
100064,38,102.62,,FR,premium,1605526384,1
100065,58,79.21,,DE,basic,1605615554,0
100066,71,25.79,,CA,basic,1605700108,0
100067,19,35.84,,US,standard,1605792107,0
100068,64,21.44,,DE,basic,1605872857,0
100069,52,83.82,,AU,standard,1605963341,0
100070,49,62.48,,AU,basic,1606050855,0
100071,5,72.23,,UK,standard,1606132905,1
100072,51,75.98,,BR,standard,1606218712,0
100073,34,90.96,,US,standard,1606309124,1
100074,15,69.04,,CA,premium,1606394110,0
100075,58,49.38,,BR,premium,1606481735,0
100076,48,36.33,,US,standard,1606568208,1
100077,26,29.05,,US,basic,1606653128,0
100078,2,61.03,,DE,premium,1606742600,1
100079,71,117.49,,BR,basic,1606825862,0
100080,44,22.94,,DE,standard,1606908793,0
100081,42,73.8,,FR,basic,1606995201,0
100082,2,31.82,,DE,basic,1607085218,0
100083,26,82.9,,UK,premium,1607172280,0
100084,39,51.1,,FR,premium,1607258526,0
100085,28,112.65,,FR,standard,1607347217,1
100086,10,61.48,,UK,premium,1607433913,0
100087,4,89.96,,JP,standard,1607517626,1
100088,37,44.92,,CA,standard,1607600974,0
100089,30,29.08,,US,basic,1607691239,0
100090,58,24.31,,CA,premium,1607776857,0
100091,44,57.15,,US,basic,1607865893,0
100092,57,39.38,,US,standard,1607948400,0
100093,19,103.92,,UK,standard,1608036830,0
100094,30,80.48,,US,standard,1608119779,0
100095,1,103.92,,JP,basic,1608207209,0
100096,23,103.56,,FR,premium,1608291438,0
100097,66,93.74,,CA,basic,1608380649,0
100098,26,114.42,,US,premium,1608470772,0
100099,27,112.72,,US,premium,1608552756,0
100100,18,107.49,1918.22,BR,premium,1608636642,1
100101,66,106.56,6999.41,AU,premium,1608724457,0
100102,55,42.33,2347.78,FR,standard,1608813413,0
100103,4,63.54,304.13,JP,basic,1608898789,0
100104,29,32.77,971.0,AU,standard,1608988164,0
100105,4,114.92,436.58,CA,basic,1609070175,1
100106,45,58.38,2654.72,DE,premium,1609158079,1
100107,24,87.97,2153.69,FR,standard,1609243341,0
100108,55,58.25,3248.8,UK,basic,1609330360,1
100109,10,72.77,723.33,UK,premium,1609417280,1
100110,68,54.55,3666.81,US,premium,1609502309,1
100111,26,61.72,1601.84,DE,basic,1609592045,0
100112,59,31.33,1806.59,UK,basic,1609679692,0
100113,62,66.83,4109.71,AU,premium,1609765338,0
100114,55,60.43,3348.61,BR,standard,1609847730,0
100115,25,64.42,1636.6,CA,premium,1609937363,0
100116,10,112.84,1170.86,FR,basic,1610019905,1
100117,19,115.45,2234.74,AU,basic,1610106696,1
100118,50,77.24,3840.67,BR,standard,1610196492,0
100119,15,72.22,1126.32,UK,premium,1610283636,1
100120,54,105.4,5697.6,US,premium,1610364989,1
100121,44,60.96,2689.13,JP,standard,1610452369,0
100122,29,67.66,1947.88,AU,basic,1610538058,0
100123,26,76.94,2036.74,CA,basic,1610630716,0
100124,7,28.66,239.85,CA,basic,1610715719,1
100125,1,67.19,68.97,UK,premium,1610799555,0
100126,60,69.86,4198.8,DE,basic,1610888764,0
100127,10,113.05,1107.92,DE,standard,1610970115,0
100128,17,62.84,1106.51,US,basic,1611062195,1
100129,31,41.71,1332.7,FR,premium,1611145420,0
100130,16,73.2,1131.72,UK,standard,1611231040,0
100131,50,40.33,2016.38,BR,standard,1611318796,0
100132,68,90.15,6174.32,FR,premium,1611405461,0
100133,44,92.51,4074.89,FR,standard,1611491656,0
100134,44,104.73,4566.23,FR,standard,1611574392,0
100135,7,113.14,829.04,BR,basic,1611660732,1
100136,46,29.6,1323.16,AU,standard,1611748867,0
100137,14,72.24,1053.63,BR,standard,1611837841,0
100138,62,88.13,5493.53,BR,basic,1611919759,0
100139,58,75.31,4415.87,UK,basic,1612008127,0
100140,38,116.99,4408.04,UK,standard,1612096635,0
100141,71,49.48,3475.8,JP,basic,1612182675,0
100142,17,23.55,396.94,BR,basic,1612265613,0
100143,35,88.31,3059.31,DE,premium,1612355575,0
100144,11,94.1,998.77,CA,standard,1612443497,1
100145,69,69.71,4859.3,UK,basic,1612526389,0
100146,8,110.77,923.34,US,basic,1612614290,0
100147,35,105.49,3677.33,JP,basic,1612704109,0
100148,10,81.19,820.83,US,standard,1612783950,0
100149,46,73.52,3349.57,BR,basic,1612873960,0
100150,1,-9999,62.48,AU,premium,1612959680,1
100151,22,-9999,1261.97,FR,basic,1613043298,1
100152,21,-9999,1991.92,US,standard,1613132899,0
100153,31,-9999,2046.71,BR,premium,1613218738,0
100154,46,-9999,2847.09,BR,basic,1613305548,0
100155,63,36.14,2256.47,US,standard,1613390128,0
100156,31,67.15,2122.28,UK,premium,1613479371,0
100157,63,86.47,5438.5,BR,premium,1613563641,1
100158,30,63.21,1934.41,CA,basic,1613653300,0
100159,30,21.63,624.27,BR,basic,1613738033,0
100160,39,70.62,2738.94,AU,premium,1613824162,0
100161,43,59.4,2556.35,JP,standard,1613910683,0
100162,59,79.49,4715.94,AU,standard,1613996799,0
100163,69,101.65,7049.66,JP,standard,1614083315,0
100164,51,26.32,1348.96,BR,basic,1614167218,0
100165,30,112.47,3360.55,FR,basic,1614255041,0
100166,42,87.47,3692.43,AU,basic,1614340151,0
100167,27,37.69,1064.13,CA,premium,1614430219,1
100168,62,70.58,4344.57,DE,basic,1614515337,0
100169,13,33.87,441.78,JP,standard,1614605194,0
100170,37,39.78,1473.97,BR,standard,1614686757,1
100171,59,45.77,2668.97,FR,standard,1614774834,0
100172,52,43.04,2276.24,UK,basic,1614857205,0
100173,19,49.25,956.47,US,basic,1614945859,0
100174,3,38.6,156.28,US,basic,1615030972,1
100175,6,53.4,313.42,UK,premium,1615116893,1
100176,12,86.18,990.96,AU,basic,1615203087,0
