workload,phase,arm,ns_per_call
relu,0,fallback,12891.344953823113
relu,0,fallback (A/A),12495.910641484317
relu,0,kernel,15363.717863382977
relu,1,fallback,12226.973957899992
relu,1,fallback (A/A),12776.364506198519
relu,1,kernel,15454.929694650138
relu,2,fallback,13552.379565687661
relu,2,fallback (A/A),12110.749646393211
relu,2,kernel,14135.059073134204
relu,3,fallback,12418.514435477162
relu,3,fallback (A/A),12440.067809301938
relu,3,kernel,16516.864963807304
relu,4,fallback,15019.215408935852
relu,4,fallback (A/A),15537.424078542308
relu,4,kernel,20498.350528330146
axpy,0,fallback,28727.41544723326
axpy,0,fallback (A/A),30695.997674193237
axpy,0,kernel,42534.896792324835
axpy,1,fallback,31116.87178990212
axpy,1,fallback (A/A),32520.001938172303
axpy,1,kernel,45416.55199147204
axpy,2,fallback,31768.86326194399
axpy,2,fallback (A/A),30284.194204864812
axpy,2,kernel,39543.93836612075
axpy,3,fallback,32316.900862486676
axpy,3,fallback (A/A),33689.73737765288
axpy,3,kernel,43970.78205252447
axpy,4,fallback,31124.45004360888
axpy,4,fallback (A/A),31676.92605872662
axpy,4,kernel,42768.640372129084
dot_kahan,0,fallback,213330.9007707129
dot_kahan,0,fallback (A/A),260503.27552986512
dot_kahan,0,kernel,259671.67630057802
dot_kahan,1,fallback,217819.62909441232
dot_kahan,1,fallback (A/A),220885.16377649325
dot_kahan,1,kernel,209177.26396917147
dot_kahan,2,fallback,218910.26011560694
dot_kahan,2,fallback (A/A),204810.95857418113
dot_kahan,2,kernel,209504.3352601156
dot_kahan,3,fallback,217802.21579961464
dot_kahan,3,fallback (A/A),207733.88728323698
dot_kahan,3,kernel,209512.5
dot_kahan,4,fallback,219374.10886319846
dot_kahan,4,fallback (A/A),209553.44412331405
dot_kahan,4,kernel,230326.71001926783
mse,0,fallback,215044.53062316126
mse,0,fallback (A/A),213850.57502005884
mse,0,kernel,203373.60256753143
mse,1,fallback,211656.56592671838
mse,1,fallback (A/A),215944.4236426852
