subject,family,arm,config,phase_idx,warmup,iters,wall_micros,per_run_micros,rss_plan_kb,rss_final_kb
mem_grad_a1,selector,a,baseline,0,true,16025,4955839,309.257,5436,5512
mem_grad_a1,selector,b,selector_rec,0,true,16025,3851085,240.317,5456,5528
mem_grad_a1,selector,a,baseline,1,false,16025,6803044,424.527,5444,5520
mem_grad_a1,selector,b,selector_rec,1,false,16025,2256182,140.791,5440,5512
mem_grad_a1,selector,a,baseline,2,false,16025,7026548,438.474,5444,5516
mem_grad_a1,selector,b,selector_rec,2,false,16025,7293675,455.144,5436,5512
mem_grad_a1,selector,a,baseline,3,false,16025,18727480,1168.641,5412,5508
mem_grad_a1,selector,b,selector_rec,3,false,16025,8626801,538.334,5416,5504
mem_grad_a1,selector,a,baseline,4,false,16025,13619684,849.902,5436,5516
mem_grad_a1,selector,b,selector_rec,4,false,16025,6833901,426.452,5432,5508
mem_grad_a1,selector,a,baseline,5,false,16025,10224623,638.042,5412,5504
mem_grad_a1,selector,b,selector_rec,5,false,16025,6137886,383.019,5432,5512
mem_grad_a2,selector,a,baseline,0,true,3309,8336214,2519.255,5460,5540
mem_grad_a2,selector,b,selector_rec,0,true,3309,3458792,1045.268,5436,5520
mem_grad_a2,selector,a,baseline,1,false,3309,6103675,1844.568,5452,5528
mem_grad_a2,selector,b,selector_rec,1,false,3309,2344445,708.506,5444,5520
mem_grad_a2,selector,a,baseline,2,false,3309,5998960,1812.922,5448,5520
mem_grad_a2,selector,b,selector_rec,2,false,3309,1953617,590.395,5456,5532
mem_grad_a2,selector,a,baseline,3,false,3309,6418005,1939.560,5476,5548
mem_grad_a2,selector,b,selector_rec,3,false,3309,2146195,648.593,5456,5516
mem_grad_a2,selector,a,baseline,4,false,3309,6842988,2067.993,5452,5524
mem_grad_a2,selector,b,selector_rec,4,false,3309,2532821,765.434,5424,5516
mem_grad_a2,selector,a,baseline,5,false,3309,7018857,2121.141,5456,5532
mem_grad_a2,selector,b,selector_rec,5,false,3309,2970515,897.708,5448,5520
mem_grad_a3,selector,a,baseline,0,true,608,4434616,7293.776,5448,5460
mem_grad_a3,selector,b,selector_rec,0,true,608,1702133,2799.561,5460,5468
mem_grad_a3,selector,a,baseline,1,false,608,3639945,5986.752,5456,5464
mem_grad_a3,selector,b,selector_rec,1,false,608,1407918,2315.655,5456,5464
mem_grad_a3,selector,a,baseline,2,false,608,3071621,5052.008,5452,5464
mem_grad_a3,selector,b,selector_rec,2,false,608,1279095,2103.775,5456,5468
