seed,accuracy,brier,nll,ece,populated_leaves,dead_leaves,min_samples_per_pop_leaf,max_samples_per_leaf,mean_samples_per_pop_leaf,wall_clock_ms,chain_head_hex,merkle_root_hex
1,0.939130,0.075234,0.230229,0.126446,12,4,1,227,37.8333,147,557bbbde077507961f673a02b51d13d7d7939dfbccf58037aa174baf0f121b09,4603a2d2b58538293799ef0d06a7d704a2956f204e2e461de77d81152ee55b02
2,0.956522,0.070961,0.211962,0.125818,12,4,1,228,37.8333,145,ca20d01913a8dfd807f9884b66f3f6457d574d19076ce9f772f936792fb505f0,e17196b03227b36dff1734498f4361c048ae807c1532b8547ba12731b5991feb
3,0.947826,0.077236,0.463665,0.131148,12,4,1,227,37.8333,150,3ff1121bc1951f1b5f44417a90d96b0de4bcd37a5083d26eb2c30ebcda93b520,e1f76df2b4ae1f3d91db9caeb1eec00b16dc6ffaaf4f3b73522cb1089e49070d
4,0.956522,0.065339,0.202287,0.119430,11,5,3,228,41.2727,142,3b0a5422c89c9035005b22352abd292417e16fc807191ac92aa80cc3f9c2c0cd,9d463937da04c95f05347c2ceb88fa6f79bd7825e360d59bf351f1c7e6da630b
5,0.956522,0.085702,0.596148,0.146886,12,4,1,224,37.8333,133,cd082ebbf18ae774e0701f6b71eec932f98581aec18825181f6201a3b5d6b50e,203bcb97c88fcc13941b1e589bb37542d5d619da73192f88d1d81b2da65ad674
6,0.973913,0.053838,0.282646,0.093667,11,5,2,232,41.2727,310,270c658272d590c70275c9498f0265307c3c9e47a85544432862f183c12a68dd,272a909f47453eae84f6332fbc51c2b2d90afb187fdc920a7be9de2e58b66b59
7,0.956522,0.068730,0.435197,0.122571,11,5,3,224,41.2727,178,82e6aaf064f50a05ac7f273544b51ac746774b01ee2c2ebe89e07a819e446658,ee2469b7a9b51e32938ee04132cba3d91872be77aaaf075a724d66e5a865f82c
8,0.991304,0.043703,0.148713,0.103260,11,5,3,234,41.2727,210,8fe16ca0100227d58084155f8c95beafb448a5c3ed44d92bd9098683611235f2,a80bab094b41d125ae55f934162f127a36a51344e01619f8e786da134adb7e3b
9,0.939130,0.079494,0.481137,0.135677,12,4,1,224,37.8333,182,669300c68bc66a4759f7e235b2279c69e2f0289228a3e22600dac2e21117c300,921e06f7f65a9ee7d9fb165ad212431e74c90c79629768e318113ac52b13cc99
10,0.921739,0.095557,0.281221,0.139254,12,4,1,229,37.8333,213,e41ba0e4fe222936f949a2dae2e1333457943a74c51d0af67d16c2e07a8098b0,daf3f442455d34ac3b6a51f7d18e414b990864dd01559505b3ba26467eba6a8f
11,0.947826,0.090011,0.376382,0.149365,12,4,1,229,37.8333,261,9294ee9b3428121092da41d3db4535ae0505ebc8716c82b2dca29a54d89b3110,df1e67ed5ec715265c48db5aa8e8261285ead84d550aad6b70bd0955a08d644b
12,0.947826,0.072211,0.212592,0.116844,11,5,3,230,41.2727,1454,5fcb6c4eb846896102035382489a5bafb8d79208482940567ff22021aa589434,8f2350abbe413b425f7df54ba934933a395d75e924fba824d5e2ea6d04eb3196
13,0.956522,0.077548,0.336150,0.136384,12,4,1,233,37.8333,378,8571f81bab28d38b2d134f4402a42ad3521df0f70492ff922a23335488545477,268168d62ae0493ad487e061d9b3c2cdedccfd9c351008ad80fcfc05ba5b90b4
14,0.939130,0.080509,0.493015,0.112117,12,4,1,229,37.8333,182,34b130c1c087fd67f7f6868064848412a0d599bce0c80a8c2cc34a753a4d76d2,1b61ca517c85da1cc5f8c9b1bcb0798dec8b5d7fd8aee572fbc60186807adef4
15,0.947826,0.093244,0.652479,0.142875,12,4,1,230,37.8333,913,8c1d3cef8f66d5d32bc1f5100f8c3c37adb97bad8a52ebfbc763811468e21008,1505c5f1057e74a00b036598392ab09d4dae1f83b2186045e9e9841bf808b3b5
